2017/10/27 13:58:45 [emerg] 30413#30413: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 19:27:59 [error] 32047#32047: *17 open() "/home/majid/Code/hwapp/assets/bundle/vendors.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/vendors.js?v=$sizeOfVendors HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:59 [error] 32047#32047: *17 open() "/home/majid/Code/hwapp/assets/bundle/core.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/core.js?v=$sizeOfCore HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:59 [error] 32047#32047: *17 open() "/home/majid/Code/hwapp/assets/bundle/app.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/app.js?v=$sizeOfApp HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:59 [error] 32047#32047: *17 open() "/home/majid/Code/hwapp/assets/bundle/core.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/core.js?v=$sizeOfCore HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:59 [error] 32047#32047: *17 open() "/home/majid/Code/hwapp/assets/bundle/app.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/app.js?v=$sizeOfApp HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:28:03 [error] 32047#32047: *19 open() "/home/majid/Code/hwapp/assets/bundle/style.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/style.css?v=$sizeOfCore HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:28:03 [error] 32047#32047: *19 open() "/home/majid/Code/hwapp/assets/bundle/vendors.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/vendors.js?v=$sizeOfVendors HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:28:03 [error] 32047#32047: *19 open() "/home/majid/Code/hwapp/assets/bundle/core.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/core.js?v=$sizeOfCore HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:28:03 [error] 32047#32047: *19 open() "/home/majid/Code/hwapp/assets/bundle/app.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/app.js?v=$sizeOfApp HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:28:03 [error] 32047#32047: *19 open() "/home/majid/Code/hwapp/assets/bundle/core.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/core.js?v=$sizeOfCore HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:28:03 [error] 32047#32047: *19 open() "/home/majid/Code/hwapp/assets/bundle/app.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/app.js?v=$sizeOfApp HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:28:03 [error] 32047#32047: *20 open() "/home/majid/Code/hwapp/assets/bundle/style.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/style.css?v=$sizeOfCore HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:28:03 [error] 32047#32047: *20 open() "/home/majid/Code/hwapp/assets/bundle/vendors.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/vendors.js?v=$sizeOfVendors HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:28:03 [error] 32047#32047: *20 open() "/home/majid/Code/hwapp/assets/bundle/core.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/core.js?v=$sizeOfCore HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:28:03 [error] 32047#32047: *20 open() "/home/majid/Code/hwapp/assets/bundle/app.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/app.js?v=$sizeOfApp HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:28:04 [error] 32047#32047: *20 open() "/home/majid/Code/hwapp/assets/bundle/app.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/app.js?v=$sizeOfApp HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/11/03 11:07:44 [error] 29591#29591: *2 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/11/03 11:10:01 [emerg] 29798#29798: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/11/03 11:10:01 [emerg] 29798#29798: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/11/03 11:10:01 [emerg] 29798#29798: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/11/03 11:10:01 [emerg] 29798#29798: bind() to 0.0.0.0:8010 failed (98: Address already in use)
